runId,projectId,targetSourceFiles,measurementIndex,auditMs,parseMs,dependenciesMs,componentsMs,sinksMs,graphMs,reachabilityMs,staticAnalysisMs,reportMs,totalMs,peakRssBytes,peakRssMiB,rssSampleCount,sourceFileCount,componentCount,sinkCount,findingCount,diagnosticCount,outlier
20260918T145518404Z-892aa8d3,performance-500,500,2,0.091,252.398,55.098,30.325,26.284,1.994,4.814,370.913,0.092,371.553,140288000,133.7890625,46,500,505,22,33,0,false
20260918T145518404Z-892aa8d3,performance-500,500,3,0.09,258.878,50.881,31.026,25.604,1.966,4.945,373.3,0.098,373.886,139915264,133.43359375,47,500,505,22,33,0,false
20260918T145518404Z-892aa8d3,performance-500,500,4,0.09,250.155,49.531,27.988,25.863,2.154,5.283,360.974,0.098,361.592,139730944,133.2578125,44,500,505,22,33,0,false
20260918T145518404Z-892aa8d3,performance-500,500,5,0.094,253.131,48.118,29.914,26.831,1.993,4.858,364.845,0.105,365.476,140300288,133.80078125,49,500,505,22,33,0,false
20260918T145518404Z-892aa8d3,performance-500,500,6,0.086,250.357,49.414,28.632,25.063,2.478,5.031,360.975,0.109,361.641,140091392,133.6015625,47,500,505,22,33,0,false
20260918T145518404Z-892aa8d3,performance-500,500,7,0.089,253.39,52.058,28.283,25.418,2.105,4.792,366.046,0.101,366.66,140050432,133.5625,48,500,505,22,33,0,false
20260918T145518404Z-892aa8d3,performance-500,500,8,0.089,250.432,55.753,29.474,31.084,3.168,6.442,376.353,0.114,377.1,140435456,133.9296875,48,500,505,22,33,0,true
20260918T145518404Z-892aa8d3,performance-500,500,9,0.087,253.164,53.525,30.684,26.11,1.978,4.669,370.13,0.097,370.722,139575296,133.109375,47,500,505,22,33,0,false
20260918T145518404Z-892aa8d3,performance-500,500,10,0.098,252.224,49.006,30.988,25.99,2.022,5.164,365.394,0.104,366.049,140046336,133.55859375,48,500,505,22,33,0,false
20260918T145518404Z-892aa8d3,performance-500,500,11,0.088,250.209,48.841,28.969,25.751,2.02,4.765,360.555,0.104,361.258,140185600,133.69140625,45,500,505,22,33,0,false
20260918T145518404Z-892aa8d3,performance-500,500,12,0.086,251.097,48.812,29.495,27.77,2.114,5.159,364.447,0.105,365.115,139735040,133.26171875,45,500,505,22,33,0,false
20260918T145518404Z-892aa8d3,performance-500,500,13,0.087,250.3,52.6,27.904,25.29,1.993,5.726,363.813,0.094,364.414,140042240,133.5546875,47,500,505,22,33,0,false
20260918T145518404Z-892aa8d3,performance-500,500,14,0.091,252.813,50.93,29.416,25.634,2.001,5.184,365.978,0.106,366.618,140771328,134.25,46,500,505,22,33,0,false
20260918T145518404Z-892aa8d3,performance-500,500,15,0.092,251.455,53.871,28.585,26.372,2.058,4.919,367.26,0.102,367.88,139948032,133.46484375,46,500,505,22,33,0,false
20260918T145518404Z-892aa8d3,performance-500,500,16,0.087,247.501,49.031,28.938,26.266,2.068,5.086,358.89,0.094,359.504,140029952,133.54296875,47,500,505,22,33,0,false
20260918T145518404Z-892aa8d3,performance-500,500,17,0.087,255.325,50.319,29.002,25.412,2.018,5.566,367.642,0.126,368.293,140824576,134.30078125,47,500,505,22,33,0,false
20260918T145518404Z-892aa8d3,performance-500,500,18,0.088,251.13,48.865,30.029,26.019,2.034,5.599,363.676,0.135,364.368,140402688,133.8984375,46,500,505,22,33,0,false
